population_size,mutation_rate,crossover_rate,trial,passcode,success,generations,time_sec
50,0.1,0.9,1,11010001101011100000000000000000.00,1,184,0.0648
50,0.1,0.9,2,10001001100101100000000000000000.00,1,211,0.0773
50,0.1,0.9,3,10111001011110100000000000000000.00,1,698,0.2405
50,0.1,0.9,4,11100001001011000000000000000000.00,1,271,0.091
50,0.1,0.9,5,10111100010000000000000000000000.00,1,62,0.0253
50,0.1,0.9,6,101000100010011000000000000.00,1,80,0.0286
50,0.1,0.9,7,10010111001101100000000000000000.00,1,76,0.0316
50,0.1,0.9,8,111001000100101000000000000000.00,1,57,0.0174
50,0.1,0.9,9,10011001101001000000000000000000.00,1,179,0.0657
50,0.1,0.9,10,1111110100001000000000000000000.00,1,208,0.0662
100,0.01,0.6,1,11010001101011100000000000000000.00,1,14,0.0133
100,0.01,0.6,2,10001001100101100000000000000000.00,1,19,0.0134
100,0.01,0.6,3,10111001011110100000000000000000.00,1,14,0.0099
100,0.01,0.6,4,11100001001011000000000000000000.00,1,13,0.0068
100,0.01,0.6,5,10111100010000000000000000000000.00,1,8,0.0102
100,0.01,0.6,6,101000100010011000000000000.00,1,16,0.0087
100,0.01,0.6,7,10010111001101100000000000000000.00,1,16,0.007
100,0.01,0.6,8,111001000100101000000000000000.00,1,13,0.0157
100,0.01,0.6,9,10011001101001000000000000000000.00,1,13,0.0094
100,0.01,0.6,10,1111110100001000000000000000000.00,1,16,0.0101
100,0.01,0.7,1,11010001101011100000000000000000.00,1,12,0.0078
100,0.01,0.7,2,10001001100101100000000000000000.00,1,16,0.0164
100,0.01,0.7,3,10111001011110100000000000000000.00,1,14,0.0121
100,0.01,0.7,4,11100001001011000000000000000000.00,1,16,0.0089
100,0.01,0.7,5,10111100010000000000000000000000.00,1,11,0.0121
100,0.01,0.7,6,101000100010011000000000000.00,1,15,0.013
100,0.01,0.7,7,10010111001101100000000000000000.00,1,15,0.0106
100,0.01,0.7,8,111001000100101000000000000000.00,1,9,0.0078
100,0.01,0.7,9,10011001101001000000000000000000.00,1,12,0.0076
100,0.01,0.7,10,1111110100001000000000000000000.00,1,13,0.0115
100,0.01,0.9,1,11010001101011100000000000000000.00,1,9,0.0029
100,0.01,0.9,2,10001001100101100000000000000000.00,1,11,0.0078
100,0.01,0.9,3,10111001011110100000000000000000.00,1,11,0.0145
100,0.01,0.9,4,11100001001011000000000000000000.00,1,14,0.0157
100,0.01,0.9,5,10111100010000000000000000000000.00,1,12,0.009
100,0.01,0.9,6,101000100010011000000000000.00,1,9,0.0067
100,0.01,0.9,7,10010111001101100000000000000000.00,1,12,0.0082
100,0.01,0.9,8,111001000100101000000000000000.00,1,14,0.0101
100,0.01,0.9,9,10011001101001000000000000000000.00,1,13,0.0088
100,0.01,0.9,10,1111110100001000000000000000000.00,1,12,0.009
100,0.05,0.6,1,11010001101011100000000000000000.00,1,58,0.0381
100,0.05,0.6,2,10001001100101100000000000000000.00,1,13,0.0119
100,0.05,0.6,3,10111001011110100000000000000000.00,1,16,0.0102
100,0.05,0.6,4,11100001001011000000000000000000.00,1,35,0.0276
100,0.05,0.6,5,10111100010000000000000000000000.00,1,25,0.0163
100,0.05,0.6,6,101000100010011000000000000.00,1,14,0.0015
100,0.05,0.6,7,10010111001101100000000000000000.00,1,16,0.0108
100,0.05,0.6,8,111001000100101000000000000000.00,1,19,0.0077
100,0.05,0.6,9,10011001101001000000000000000000.00,1,31,0.0158
100,0.05,0.6,10,1111110100001000000000000000000.00,1,70,0.0452
100,0.05,0.7,1,11010001101011100000000000000000.00,1,18,0.0128
100,0.05,0.7,2,10001001100101100000000000000000.00,1,15,0.016
100,0.05,0.7,3,10111001011110100000000000000000.00,1,35,0.0451
100,0.05,0.7,4,11100001001011000000000000000000.00,1,24,0.0264
100,0.05,0.7,5,10111100010000000000000000000000.00,1,36,0.0306
100,0.05,0.7,6,101000100010011000000000000.00,1,26,0.0187
100,0.05,0.7,7,10010111001101100000000000000000.00,1,17,0.01
100,0.05,0.7,8,111001000100101000000000000000.00,1,26,0.0199
100,0.05,0.7,9,10011001101001000000000000000000.00,1,8,0.0101
100,0.05,0.7,10,1111110100001000000000000000000.00,1,24,0.0184
100,0.05,0.9,1,11010001101011100000000000000000.00,1,11,0.0097
100,0.05,0.9,2,10001001100101100000000000000000.00,1,19,0.0152
100,0.05,0.9,3,10111001011110100000000000000000.00,1,22,0.0208
100,0.05,0.9,4,11100001001011000000000000000000.00,1,16,0.0141
100,0.05,0.9,5,10111100010000000000000000000000.00,1,19,0.0167
100,0.05,0.9,6,101000100010011000000000000.00,1,21,0.0168
100,0.05,0.9,7,10010111001101100000000000000000.00,1,24,0.0136
100,0.05,0.9,8,111001000100101000000000000000.00,1,15,0.0099
100,0.05,0.9,9,10011001101001000000000000000000.00,1,18,0.0183
100,0.05,0.9,10,1111110100001000000000000000000.00,1,23,0.019
100,0.1,0.6,1,11010001101011100000000000000000.00,1,26,0.0267
100,0.1,0.6,2,10001001100101100000000000000000.00,1,58,0.0939
100,0.1,0.6,3,10111001011110100000000000000000.00,1,212,0.2622
100,0.1,0.6,4,11100001001011000000000000000000.00,1,291,0.2637
100,0.1,0.6,5,10111100010000000000000000000000.00,1,128,0.1409
100,0.1,0.6,6,101000100010011000000000000.00,1,291,0.2324
100,0.1,0.6,7,10010111001101100000000000000000.00,1,316,0.25
100,0.1,0.6,8,111001000100101000000000000000.00,1,155,0.1181
100,0.1,0.6,9,10011001101001000000000000000000.00,1,136,0.0916
100,0.1,0.6,10,1111110100001000000000000000000.00,1,202,0.1318
100,0.1,0.7,1,11010001101011100000000000000000.00,1,100,0.0702
100,0.1,0.7,2,10001001100101100000000000000000.00,1,72,0.0498
100,0.1,0.7,3,10111001011110100000000000000000.00,1,616,0.4188
100,0.1,0.7,4,11100001001011000000000000000000.00,1,211,0.1433
100,0.1,0.7,5,10111100010000000000000000000000.00,1,56,0.0437
100,0.1,0.7,6,101000100010011000000000000.00,1,80,0.0568
100,0.1,0.7,7,10010111001101100000000000000000.00,1,837,0.5948
100,0.1,0.7,8,111001000100101000000000000000.00,1,201,0.1799
100,0.1,0.7,9,10011001101001000000000000000000.00,1,77,0.0556
100,0.1,0.7,10,1111110100001000000000000000000.00,1,203,0.1584
100,0.1,0.9,1,11010001101011100000000000000000.00,1,563,0.5417
100,0.1,0.9,2,10001001100101100000000000000000.00,1,121,0.1259
100,0.1,0.9,3,10111001011110100000000000000000.00,1,76,0.1437
100,0.1,0.9,4,11100001001011000000000000000000.00,1,176,0.2692
100,0.1,0.9,5,10111100010000000000000000000000.00,1,147,0.2483
100,0.1,0.9,6,101000100010011000000000000.00,1,348,0.4097
100,0.1,0.9,7,10010111001101100000000000000000.00,1,715,0.7859
100,0.1,0.9,8,111001000100101000000000000000.00,1,262,0.3162
100,0.1,0.9,9,10011001101001000000000000000000.00,1,96,0.0954
100,0.1,0.9,10,1111110100001000000000000000000.00,1,156,0.2231
200,0.01,0.6,1,11010001101011100000000000000000.00,1,10,0.0331
200,0.01,0.6,2,10001001100101100000000000000000.00,1,14,0.0564
200,0.01,0.6,3,10111001011110100000000000000000.00,1,11,0.051
200,0.01,0.6,4,11100001001011000000000000000000.00,1,13,0.0426
200,0.01,0.6,5,10111100010000000000000000000000.00,1,12,0.0444
200,0.01,0.6,6,101000100010011000000000000.00,1,7,0.0124
200,0.01,0.6,7,10010111001101100000000000000000.00,1,15,0.0426
200,0.01,0.6,8,111001000100101000000000000000.00,1,13,0.0226
200,0.01,0.6,9,10011001101001000000000000000000.00,1,13,0.0444
200,0.01,0.6,10,1111110100001000000000000000000.00,1,11,0.0281
200,0.01,0.7,1,11010001101011100000000000000000.00,1,14,0.041
200,0.01,0.7,2,10001001100101100000000000000000.00,1,11,0.0464
200,0.01,0.7,3,10111001011110100000000000000000.00,1,8,0.0195
200,0.01,0.7,4,11100001001011000000000000000000.00,1,10,0.0278
200,0.01,0.7,5,10111100010000000000000000000000.00,1,13,0.0431
200,0.01,0.7,6,101000100010011000000000000.00,1,11,0.0454
200,0.01,0.7,7,10010111001101100000000000000000.00,1,13,0.0397
200,0.01,0.7,8,111001000100101000000000000000.00,1,9,0.0334
200,0.01,0.7,9,10011001101001000000000000000000.00,1,12,0.0244
200,0.01,0.7,10,1111110100001000000000000000000.00,1,9,0.0155
200,0.01,0.9,1,11010001101011100000000000000000.00,1,11,0.0399
200,0.01,0.9,2,10001001100101100000000000000000.00,1,8,0.0332
200,0.01,0.9,3,10111001011110100000000000000000.00,1,12,0.0491
200,0.01,0.9,4,11100001001011000000000000000000.00,1,11,0.0275
200,0.01,0.9,5,10111100010000000000000000000000.00,1,10,0.0406
200,0.01,0.9,6,101000100010011000000000000.00,1,10,0.0254
200,0.01,0.9,7,10010111001101100000000000000000.00,1,12,0.0227
200,0.01,0.9,8,111001000100101000000000000000.00,1,12,0.0231
200,0.01,0.9,9,10011001101001000000000000000000.00,1,12,0.0267
200,0.01,0.9,10,1111110100001000000000000000000.00,1,9,0.0164
200,0.05,0.6,1,11010001101011100000000000000000.00,1,18,0.0595
200,0.05,0.6,2,10001001100101100000000000000000.00,1,20,0.0696
200,0.05,0.6,3,10111001011110100000000000000000.00,1,16,0.0499
200,0.05,0.6,4,11100001001011000000000000000000.00,1,11,0.0421
200,0.05,0.6,5,10111100010000000000000000000000.00,1,24,0.0677
200,0.05,0.6,6,101000100010011000000000000.00,1,11,0.0263
200,0.05,0.6,7,10010111001101100000000000000000.00,1,26,0.0789
200,0.05,0.6,8,111001000100101000000000000000.00,1,14,0.0265
200,0.05,0.6,9,10011001101001000000000000000000.00,1,16,0.0475
200,0.05,0.6,10,1111110100001000000000000000000.00,1,17,0.051
200,0.05,0.7,1,11010001101011100000000000000000.00,1,16,0.038
200,0.05,0.7,2,10001001100101100000000000000000.00,1,17,0.0661
200,0.05,0.7,3,10111001011110100000000000000000.00,1,17,0.0546
200,0.05,0.7,4,11100001001011000000000000000000.00,1,22,0.0503
200,0.05,0.7,5,10111100010000000000000000000000.00,1,31,0.0571
200,0.05,0.7,6,101000100010011000000000000.00,1,15,0.0343
200,0.05,0.7,7,10010111001101100000000000000000.00,1,24,0.0459
200,0.05,0.7,8,111001000100101000000000000000.00,1,24,0.0409
200,0.05,0.7,9,10011001101001000000000000000000.00,1,21,0.0771
200,0.05,0.7,10,1111110100001000000000000000000.00,1,14,0.0303
200,0.05,0.9,1,11010001101011100000000000000000.00,1,16,0.0462
200,0.05,0.9,2,10001001100101100000000000000000.00,1,9,0.0489
200,0.05,0.9,3,10111001011110100000000000000000.00,1,27,0.1164
200,0.05,0.9,4,11100001001011000000000000000000.00,1,21,0.064
200,0.05,0.9,5,10111100010000000000000000000000.00,1,16,0.0323
200,0.05,0.9,6,101000100010011000000000000.00,1,21,0.039
200,0.05,0.9,7,10010111001101100000000000000000.00,1,14,0.0431
200,0.05,0.9,8,111001000100101000000000000000.00,1,15,0.0415
200,0.05,0.9,9,10011001101001000000000000000000.00,1,23,0.0582
200,0.05,0.9,10,1111110100001000000000000000000.00,1,22,0.0499
200,0.1,0.6,1,11010001101011100000000000000000.00,1,217,0.5466
200,0.1,0.6,2,10001001100101100000000000000000.00,1,306,0.7368
200,0.1,0.6,3,10111001011110100000000000000000.00,1,117,0.2579
200,0.1,0.6,4,11100001001011000000000000000000.00,1,425,1.0813
200,0.1,0.6,5,10111100010000000000000000000000.00,1,206,0.5457
200,0.1,0.6,6,101000100010011000000000000.00,1,459,1.1461
200,0.1,0.6,7,10010111001101100000000000000000.00,1,373,0.7689
200,0.1,0.6,8,111001000100101000000000000000.00,1,328,0.7812
200,0.1,0.6,9,10011001101001000000000000000000.00,1,34,0.0667
200,0.1,0.6,10,1111110100001000000000000000000.00,1,121,0.2765
200,0.1,0.7,1,11010001101011100000000000000000.00,1,115,0.2692
200,0.1,0.7,2,10001001100101100000000000000000.00,1,424,1.1956
200,0.1,0.7,3,10111001011110100000000000000000.00,1,93,0.2057
200,0.1,0.7,4,11100001001011000000000000000000.00,1,167,0.3918
200,0.1,0.7,5,10111100010000000000000000000000.00,1,699,1.8589
200,0.1,0.7,6,101000100010011000000000000.00,1,149,0.3923
200,0.1,0.7,7,10010111001101100000000000000000.00,1,138,0.3091
200,0.1,0.7,8,111001000100101000000000000000.00,1,90,0.2344
200,0.1,0.7,9,10011001101001000000000000000000.00,1,154,0.3692
200,0.1,0.7,10,1111110100001000000000000000000.00,1,402,0.9456
200,0.1,0.9,1,11010001101011100000000000000000.00,1,173,0.5025
200,0.1,0.9,2,10001001100101100000000000000000.00,1,299,0.9111
200,0.1,0.9,3,10111001011110100000000000000000.00,1,9,0.0166
200,0.1,0.9,4,11100001001011000000000000000000.00,1,286,0.7412
200,0.1,0.9,5,10111100010000000000000000000000.00,1,394,0.8959
200,0.1,0.9,6,101000100010011000000000000.00,1,180,0.4331
200,0.1,0.9,7,10010111001101100000000000000000.00,1,190,0.5102
200,0.1,0.9,8,111001000100101000000000000000.00,1,166,0.3269
200,0.1,0.9,9,10011001101001000000000000000000.00,1,32,0.0554
200,0.1,0.9,10,1111110100001000000000000000000.00,1,716,1.7764
